Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,flower_color_hex,showy_bloom,Latin Name for alignment
Jumpseed,Persicaria virginiana,,Flowering Perennial,Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic,One of the best native plants for dry shade — genuinely tolerant of difficult understory conditions including under Norway maple. Seeds eject forcefully when ripe. Variegated cultivars are popular in shade gardens.,https://inaturalist-open-data.s3.amazonaws.com/photos/184431181/medium.jpg,,Ground,N,Small,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,tolerant,tolerant,tolerant,August,September,Seeds eject when touched — bag stems before ripe or collect carefully,15,Divide in early spring; self-seeds readily under good conditions,with caveats,Young shoots edible cooked,no,,white | pink,Mid/Late Summer,6,9,#FFFFFF,,Persicaria virginiana
"Reed Canary Grass, Ribbon Grass",Phalaris arundinacea,,Grass,Invasive,,,Low-Medium,Full Sun to Part Shade,Medium,MA invasive list; smothers wetland and riparian areas; invasive strains widely sold as ornamental,https://inaturalist-open-data.s3.amazonaws.com/photos/78038371/medium.jpg,,Understory fill,Y,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Beech Fern,Phegopteris connectilis,,Fern,Native,No,Groundcover foliage,Low,Shade,Mesic,Low delicate woodland fern; slowly spreading,https://inaturalist-open-data.s3.amazonaws.com/photos/120116816/medium.jpg,,Ground layer,N,Small,2 - Marginal,1 - Don't Use,4 - Strong,3 - OK,5 - Best Fit,5 - Best Fit,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1,,low,low,low,no,no,no,unknown,marginal,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; spreads slowly,no,,no,,,Spring–Fall,3,10,,,Phegopteris connectilis
Broad Beech Fern,Phegopteris hexagonoptera,,Fern,Native,No,Broad arching fronds; woodland carpet,Low,Part Sun–Shade,Mesic,Broad triangular fronds spread horizontally to carpet the woodland floor. Different from Long Beech Fern in its broader fronds and lower-spreading habit. Excellent for moist acidic woodland understory. Spreads slowly by creeping rhizomes to form groundcover colonies.,https://inaturalist-open-data.s3.amazonaws.com/photos/205216708/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,3 - OK,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,bright green,low,low,low,no,no,no,unknown,marginal,avoid,July,August,Fern — produces spores; spores ripen midsummer on underside of fronds,2,Divide rhizomes in early spring; prefers moist acid soil; slow to establish — allow to spread naturally,no,,no,,,Spring–Fall,3,10,,,Phegopteris hexagonoptera
Amur Cork-Tree,Phellodendron amurense,,,Invasive,,,Low-Medium,Full Sun to Part Shade,Medium,,https://static.inaturalist.org/photos/166703239/medium.jpg,,Understory fill,Y,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mock Orange,Philadelphus coronarius,,Shrub,Safe Non-Native,No,Intensely fragrant white bloom; arching habit,Medium Shrub,Full Sun–Part Shade,Medium,Non-native ornamental; no significant ecological value. Fragrance is the primary asset. Very hardy and low-maintenance.,https://static.inaturalist.org/photos/79457044/medium.jpg,,Accent,N,Small,,,,,,,,No,No,No,No,Shrub,10,green,low,low,low,no,no,no,unknown,tolerant,tolerant,August,September,Collect seed capsules when brown and dry; cold stratify 4–6 weeks,,Softwood cuttings in early summer; hardwood cuttings in fall,no,,no,,White,May–June,5,6,#FFFFFF,,Philadelphus coronarius
Woodland Phlox,Phlox divaricata,,Flowering Perennial,Native,No,Spring woodland flowers,Low,Part Shade–Shade,Mesic,Spring woodland phlox spreading gently through shade,https://inaturalist-open-data.s3.amazonaws.com/photos/3365048/medium.jpg,,Ground layer,N,Small,Spring woodland phlox; good groundcover in shade,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,medium,medium,low,mild,yes,mild,unknown,tolerant,marginal,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads by stolons,no,,no,,lavender | blue | white,Spring,3,5,#9B89C4,,Phlox divaricata
Garden Phlox (cultivars),Phlox paniculata cultivars,,Flowering Perennial,Near-Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Mesic,"classic summer color, butterfly magnet",,https://upload.wikimedia.org/wikipedia/commons/9/9d/Phlox_paniculata20090811_139.jpg,Understory fill,N,Small,4 - Strong,2 - Marginal,5 - Best Fit,4 - Strong,3 - OK,1 - Don't Use,4 - Strong,No,No,No,No,Herbaceous,4,,medium,medium,low,no,no,no,unknown,avoid,avoid,August,September,Cultivar — seeds not reliably true,10,Divide in early spring or fall,no,,no,,pink | white | purple | red,Mid/Late Summer,6,9,#E8829A,,Phlox paniculata cultivars
Creeping Phlox,Phlox stolonifera,,Flowering Perennial,Native,No,Spreading spring groundcover,Low,Part Shade–Shade,Mesic,Spreading groundcover phlox for woodland edges,https://inaturalist-open-data.s3.amazonaws.com/photos/324269/medium.jpg,,Ground layer,N,Small,Spreading woodland groundcover phlox,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,medium,medium,low,mild,yes,mild,unknown,tolerant,marginal,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads by stolons,no,,no,,pink | purple | white,Spring,3,5,#E8829A,,Phlox stolonifera
Moss Phlox,Phlox subulata,,Flowering Perennial,Native,Yes,Spring carpet flowers,Low,Sun,Dry,Low mat-forming phlox suited to sunny dry slopes,https://inaturalist-open-data.s3.amazonaws.com/photos/36087958/medium.jpg,,Ground layer,N,Small,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,1,,low,low,low,mild,yes,mild,unknown,avoid,avoid,May,June,Small dry capsules; collect promptly,10,Divide in early spring or fall; spreads to form mat,no,,no,,pink | purple | white,Spring,3,5,#E8829A,,Phlox subulata
Common Reed (Non-Native),Phragmites australis,,Grass,Invasive,,,Low-Medium,Full Sun to Part Shade,Medium,MA invasive list; European haplotype forms dense wetland monocultures; note distinct native haplotype exists,https://static.inaturalist.org/photos/32409466/medium.jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/Poales_-_Phragmites_australis_-_UK_1.jpg,Understory fill,Y,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninebark,Physocarpus opulifolius,,Shrub,Native,N,Exfoliating bark; pollinator flowers,Shrub,Full Sun to Part Shade,Mesic to Moist,Excellent structural shrub,https://inaturalist-open-data.s3.amazonaws.com/photos/135237890/medium.jpeg,,Understory fill,N,Small to Medium,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,8,,low,low,low,no,no,no,tolerant,marginal,marginal,August,September,Small dry follicles in clusters,35,Divide suckers in early spring or fall,no,,no,,white | pink,Late Spring,4,5,#FFFFFF,,Physocarpus opulifolius
"Ninebark (""Diablo"" / Dark-leaf)",Physocarpus opulifolius 'Diabolo',,Shrub,Native Cultivar,No,Foliage + Bark,Structural,Full Sun–Part Sun,Dry–Mesic,Nonnative colors but great structure and pollinator use,,https://upload.wikimedia.org/wikipedia/commons/8/88/Physocarpus_opulifolius_Diabolo_0zz.jpg,Wildlife shrub,N,Medium,5 - Best Fit,3 - OK,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,No,No,No,No,Shrub,8,,low,low,low,no,no,no,tolerant,marginal,marginal,August,September,Small dry follicles; may not come true,35,May not come true; best from cuttings,no,,no,,white | pink,Spring–Summer,3,7,#FFFFFF,,Physocarpus opulifolius 'Diabolo'
"Ninebark (""Summer Wine"" / Red Leaf)",Physocarpus opulifolius 'Summer Wine',,Shrub,Native Cultivar,No,Foliage + Bark,Tall,Full Sun–Part Sun,Dry–Mesic,Smaller form; great for tight spaces,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Summer_Wine_Ninebark_-_Flickr_-_treegrow.jpg,Wildlife shrub,N,Medium,5 - Best Fit,3 - OK,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,No,No,No,No,Shrub,8,,low,low,low,no,no,no,tolerant,marginal,marginal,August,September,Small dry follicles; may not come true,35,May not come true; best from cuttings,no,,no,,white | pink,Spring–Summer,3,7,#FFFFFF,,Physocarpus opulifolius 'Summer Wine'
Obedient Plant,Physostegia virginiana,,Flowering Perennial,Native,No,Summer Color,Tall,Full Sun–Part Sun,Mesic–Moist,Pink or white spikes; spreads but manageable; strong pollinator plant,https://inaturalist-open-data.s3.amazonaws.com/photos/49931148/medium.jpg,,Anchor,M,Medium,4 - Strong,1 - Don't Use,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Small dry nutlets; strip from stem,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall.",no,,no,,pink | white,Summer,6,8,#E8829A,,Physostegia virginiana
Norway spruce,Picea abies,,Tree,Safe Non-native,,,Tall (>30 ft),Full Sun to Part Shade,Medium,Can self-seed near plantings; lower escape risk than many non-natives,https://static.inaturalist.org/photos/21333741/medium.jpeg,,Canopy structure,N,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White spruce,Picea glauca,,Tall Canopy Tree,Native,Y,Evergreen form,Large Tree,Full Sun to Part Shade,Mesic,Cold-hardy spruce,https://inaturalist-open-data.s3.amazonaws.com/photos/10737093/medium.jpeg,,Evergreen structure,N,Large,3 - OK,3 - OK,4 - Strong,3 - OK,3 - OK,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Tree,60,blue-gray,medium,medium,high,no,no,no,sensitive,tolerant,avoid,September,October,Small cones; shake seeds out,140,Best grown from seed; difficult to transplant,with caveats,Young tips edible; used in spruce tip syrup,no,,,Spring,3,5,,,Picea glauca
Serbian spruce,Picea omorika,,Tree,Safe Non-Native,,,Tall (>30 ft),Full Sun to Part Shade,Medium,,https://inaturalist-open-data.s3.amazonaws.com/photos/64885025/medium.jpg,,Canopy structure,N,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Spruce,Picea pungens,,Tree - Large,Safe Non-Native,yes,Year-round,25-50',Full Sun,Average to Dry,"Native to the Rocky Mountains, not ecologically connected to MA insects. Used for structure and screening. Some caterpillar value as Picea. Stiff, formal appearance.",https://inaturalist-open-data.s3.amazonaws.com/photos/389275799/medium.jpeg,,canopy,N,Large,3,2,3,1,1,2,2,,,,,pyramidal tree,50,blue-green,low,low,low,no,no,no,tolerant,tolerant,tolerant,,,,15,Seed; grafting for named cultivars,no,,no,,green,,,,,,Picea pungens
Mountain andromeda,Pieris floribunda,,Shrub,Safe Non-native,,,Medium (3-10 ft),Part Shade to Shade,Medium,Native to Appalachians; not MA native,https://inaturalist-open-data.s3.amazonaws.com/photos/11001/medium.jpg,,Wildlife shrub,N,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese andromeda,Pieris japonica,,Shrub,Safe Non-Native,,,Medium (3-10 ft),Part Shade to Shade,Medium,,https://inaturalist-open-data.s3.amazonaws.com/photos/118776081/medium.jpeg,,Wildlife shrub,N,Medium,,,,,,,,,,,,,,,,,,All parts highly toxic,All parts highly toxic,All parts highly toxic,,,,,,,,,,,,,,,,,,,
Jack pine,Pinus banksiana,,Tree - Large,Native,Y,Evergreen cover,Large Tree,Full Sun,Dry,Sandy dry soils,https://static.inaturalist.org/photos/8937314/medium.jpg,,Evergreen structure,N,Large,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,50,,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years; collect when open,240,Best grown from seed; difficult to transplant,with caveats,Young tips edible,no,,,Spring,3,5,,,Pinus banksiana
Red pine,Pinus resinosa,,Tall Canopy Tree,Native,Y,Evergreen structure,Large Tree,Full Sun,Dry to Mesic,Long-lived conifer,https://static.inaturalist.org/photos/231729665/medium.jpg,,Evergreen structure,N,Large,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,60,dark green,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years; collect when open,240,Best grown from seed; difficult to transplant,with caveats,Young tips edible,no,,,Spring,3,5,,,Pinus resinosa
Pitch Pine,Pinus rigida,,Tree,Native,Yes,Evergreen; gnarled character; pine barrens habitat,Structural,Full Sun,Dry,"Defining tree of New England pine barrens and sandy plains. Extremely fire-tolerant — sprouts from trunk and roots after fire. Survives the most droughty, nutrient-poor soils. Gnarled picturesque form. Critical habitat for pine barrens specialist species. Underused outside its natural range.",https://static.inaturalist.org/photos/268382579/medium.jpg,,Woody,N,Large,5 - Best Fit,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,3 - OK,5 - Best Fit,No,Yes,Yes,No,Tree,60,dark green,low,low,low,no,no,no,unknown,tolerant,avoid,September,October,Prickly cones may persist serotinously for years; heat opens cones; collect when brown; cold stratify 30-60 days,40,Cold stratify 30-60 days; direct sow in fall; transplant as small container stock; slow growing,with caveats,Seeds edible; inner bark historically used as food,no,,,Spring (pollen),3,5,,,Pinus rigida
Eastern White Pine,Pinus strobus,,Tree - Large,Native,Yes,Spring,Structural,Full Sun–Part Sun,Dry–Mesic,Fast evergreen height,https://inaturalist-open-data.s3.amazonaws.com/photos/390760300/medium.jpeg,,Woody,N,Large,3 - OK,3 - OK,4 - Strong,3 - OK,4 - Strong,5 - Best Fit,3 - OK,Yes,Yes,Yes,Yes,Tree,80,blue-gray,medium,medium,high,mild,mild,no,sensitive,tolerant,avoid,September,October,Cones take 2 years to ripen; collect when open,240,Best grown from seed; difficult to transplant once established,with caveats,Young needles edible; high in vitamin C,yes,Needle tea used medicinally,,Early Spring,2,3,,,Pinus strobus
Japanese Black Pine,Pinus thunbergii,,,Invasive,,,Low-Medium,Full Sun to Part Shade,Medium,,https://inaturalist-open-data.s3.amazonaws.com/photos/7609527/medium.jpeg,,Understory fill,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Pine / Scrub Pine,Pinus virginiana,,Tree,Native,Yes,Evergreen; rugged dry-site character,Structural,Full Sun,Dry,"Rugged small-to-medium native pine of dry, rocky, or poor soils. Twisted irregular growth form. More tolerant of harsh dry conditions than white pine. Important pioneer on poor soils. Reaches naturally into southern New England. Similar niche to pitch pine but more widely distributed.",https://static.inaturalist.org/photos/8864221/medium.jpg,,Woody,N,Large,4 - Strong,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,3 - OK,5 - Best Fit,No,No,Yes,Yes,Tree,40,dark green,low,low,low,no,no,no,unknown,tolerant,avoid,September,October,Prickly cones; collect when brown; cold stratify 30-60 days,30,Cold stratify 30-60 days; direct sow in fall; transplant as small container stock,no,,no,,,Spring (pollen),3,5,,,Pinus virginiana
London plane tree,Platanus × acerifolia,,Tree,Safe Non-native,,,Tall (>30 ft),Full Sun to Part Shade,Medium,Widely used street tree; low invasive concern,https://inaturalist-open-data.s3.amazonaws.com/photos/2261406/medium.JPG,,Canopy structure,N,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sycamore,Platanus occidentalis,,Tree - Large,Native,N,Mottled bark; strong winter structure,Large Tree,Full Sun,Mesic to Moist,Fast growing floodplain canopy tree,https://inaturalist-open-data.s3.amazonaws.com/photos/204738082/medium.jpg,,Canopy structure,N,Large,2 - Marginal,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Tree,100,,medium,low,low,no,no,no,unknown,avoid,avoid,October,November,Spiky balls; shake out winged seeds when dry,20,Best grown from fresh seed; difficult to transplant,no,,no,,,Spring,3,5,,,Platanus occidentalis
Balloon flower,Platycodon grandiflorus,,Flowering Perennial,Safe Non-native,,,Low-Medium,Full Sun to Part Shade,Medium,,https://inaturalist-open-data.s3.amazonaws.com/photos/31305123/medium.jpeg,,Understory fill,N,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayapple,Podophyllum peltatum,,Foliage Perennial,Native,No,Dramatic spring foliage; edible fruit,Low,Part Sun–Shade,Mesic,Dramatic colony-forming perennial with large umbrella-like leaves. Hidden white flowers beneath leaf canopy. Edible yellow fruit in summer when ripe. Spreads by rhizome to form dense colonies — can be aggressive in suitable conditions. Excellent large-scale woodland groundcover. Goes dormant by midsummer.,https://inaturalist-open-data.s3.amazonaws.com/photos/35674124/medium.jpg,,Ground,M,Large,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,green,low,low,low,yes,yes,yes,tolerant,marginal,marginal,July,August,Yellow fruit contains seeds; clean pulp; warm then cold stratify — slow to germinate,5,Divide rhizomes in early fall; very easy once established; spreads quickly to form colonies,with caveats,Ripe yellow fruit only edible — all other parts highly toxic including seeds,no,,white,Spring,3,5,#FFFFFF,,Podophyllum peltatum
Jacob's Ladder,Polemonium reptans,,Flowering Perennial,Native,No,Spring Flowers; foliage interest,Low,Part Sun–Shade,Mesic,Delicate blue-lavender bell-shaped flowers in spring on ladder-like pinnate foliage. Native to eastern North America. Excellent shade perennial that combines well with ferns and woodland groundcovers. Self-seeds gently without becoming weedy.,https://inaturalist-open-data.s3.amazonaws.com/photos/23272/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,1.5,,low,low,low,no,no,no,unknown,marginal,marginal,June,July,Small capsules; collect when brown before they shatter; self-seeds gently,10,Divide in early spring; also self-seeds reliably — allow seedlings to fill in,no,,no,,blue | lavender,Mid Spring,3,4,#4A7FC1,,Polemonium reptans
Solomon's Seal,Polygonatum biflorum,,Foliage Perennial,Native,No,Spring / Fall,Mid,Part Sun–Shade,Mesic,"Arching stems, woodland performer",https://static.inaturalist.org/photos/38749166/medium.jpg,,Ground,N,Small,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,3,,high,medium,low,mild,mild,mild,unknown,tolerant,marginal,August,September,Blue-black berries; clean pulp; cold stratify,5,Divide in early spring as shoots emerge; spreads slowly,with caveats,Young shoots edible cooked only,no,,white | cream,Early Spring,2,3,#FFFFFF,,Polygonatum biflorum
Variegated Solomon's Seal,Polygonatum variegatum,,Flowering Perennial,Safe Non-Native,No,Spring / Summer,Mid,Part Sun–Shade,Mesic,"arching stems, elegant in part shade",,,Understory fill,N,Small,3 - OK,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,3,variegated green/white,medium,medium,low,mild,mild,mild,unknown,marginal,marginal,August,September,Black berries; clean pulp; cold stratify,5,Divide in early spring; spreads by rhizome,with caveats,Young shoots edible cooked only,no,,white,Late Spring,4,5,#FFFFFF,,Polygonatum variegatum
Wild Garlic,Polypodium virginianum,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun–Part Sun,Mesic,"Edible, spreads moderately",https://inaturalist-open-data.s3.amazonaws.com/photos/42172861/medium.jpg,,Understory fill,N,Small,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,yes,yes,mild,unknown,avoid,avoid,July,August,Collect seed heads when papery and dry,10,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil before leaves emerge. One of the easiest plants to live stake.",yes,Edible rhizomes; sweet licorice flavor,no,,pink | white,Mid/Late Summer,6,9,#E8829A,,Polypodium virginianum
Christmas Fern,Polystichum acrostichoides,,Fern,Native,Partly,Winter,Mid,Part Sun–Shade,Mesic,"Evergreen-ish fronds hold soil, persistent foliage in mild winters",https://inaturalist-open-data.s3.amazonaws.com/photos/198714870/medium.jpeg,,Matrix,N,Small,3 - OK,2 - Marginal,3 - OK,3 - OK,4 - Strong,4 - Strong,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,2,dark green,low,low,low,no,no,no,tolerant,tolerant,marginal,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; easy and reliable,no,,no,,,,,,,,Polystichum acrostichoides
